"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"ENSG00000121579.12",-0.427787138301756,6.23155336912227,-7.45771856841568,2.90839151352222e-13,9.56555962379405e-13,18.1657106829336,"NOT"
"ENSG00000131094.3",2.88315425855609,2.46574087945912,7.3687500025714,5.39327809010288e-13,1.74729207015555e-12,18.1556234610569,"UP"
"ENSG00000205710.3",0.931901054551403,2.31231657676489,7.38439859866801,4.84024965808812e-13,1.57304049183751e-12,18.141154102043,"NOT"
"ENSG00000272335.1",0.43724888325957,3.2873057538835,7.40909578746629,4.07896950022164e-13,1.33099594990369e-12,18.1382974416431,"NOT"
"ENSG00000233927.4",0.60719782756629,7.46174960773662,7.45545596254044,2.95464808976702e-13,9.71219261670302e-13,18.1358869863344,"NOT"
"ENSG00000187695.6",-0.904382524516549,-3.58951623109301,-7.33460890435174,6.82467432837589e-13,2.19753907678179e-12,18.1355429554336,"NOT"
"ENSG00000130520.10",-0.490464357690594,5.39153924582112,-7.44646717045969,3.14567692674615e-13,1.03237531432392e-12,18.120308765845,"NOT"
"ENSG00000272892.1",-0.99763892831214,-4.00404801906606,-7.33157462621892,6.9686542616455e-13,2.24315393084463e-12,18.1172966360581,"NOT"
"ENSG00000157326.18",-0.639389803549673,4.96293963571616,-7.44328572492453,3.21616083760883e-13,1.05479173233442e-12,18.1165442354792,"NOT"
"ENSG00000267060.5",-0.748367363761883,-2.33493777832892,-7.33702533114781,6.71210941918418e-13,2.16201282756432e-12,18.1162559258722,"NOT"
"ENSG00000076826.9",-0.731490980922311,3.72302757079982,-7.42787807774996,3.58012227561128e-13,1.17151126324259e-12,18.1048027224764,"NOT"
"ENSG00000239763.2",1.00348005998857,-2.55390257413684,7.32903243678934,7.09158175324256e-13,2.28196408412267e-12,18.0979487303926,"NOT"
"ENSG00000108506.11",0.43442747829715,3.67799433527982,7.4106796802741,4.03438617423941e-13,1.31689224817025e-12,18.0970557428996,"NOT"
"ENSG00000254941.1",-0.810360053063102,-2.1938218624031,-7.33532515205041,6.7911169203863e-13,2.18697624114293e-12,18.0966532536895,"NOT"
"ENSG00000184602.5",-0.398577071245105,4.88005697367163,-7.43780480467899,3.34125307010149e-13,1.09495168070109e-12,18.0958492034033,"NOT"
"ENSG00000145349.16",0.408252497434491,5.29584143097057,7.43460144662964,3.41656899523739e-13,1.11887526894692e-12,18.0846640036068,"NOT"
"ENSG00000257576.1",0.856721896570775,-2.15904129041371,7.32734052253907,7.17457417120135e-13,2.30739075145839e-12,18.0814460237714,"NOT"
"ENSG00000135241.16",-0.461111280611563,5.10126238220082,-7.43767960584344,3.3441657577244e-13,1.09565877771702e-12,18.0779343909773,"NOT"
"ENSG00000184451.5",0.940014449002587,0.0309603261458396,7.34279686130121,6.45059304334409e-13,2.08008513590781e-12,18.0770467098365,"NOT"
"ENSG00000218426.5",0.744158236152765,2.28962740078656,7.3751572207483,5.15970441398527e-13,1.67348777087856e-12,18.0713567623355,"NOT"
"ENSG00000223756.6",0.941551492476012,-0.329430024170259,7.33788869184558,6.67233591564092e-13,2.14967865414006e-12,18.0710207967725,"NOT"
"ENSG00000279535.1",-1.51374134345747,-1.75172315132151,-7.33953811319787,6.59699366630014e-13,2.12587699749485e-12,18.064348603325,"NOT"
"ENSG00000279423.1",0.901823442464966,2.88737244412972,7.38374344536701,4.86224101038669e-13,1.57983371013628e-12,18.06385831894,"NOT"
"ENSG00000251348.1",-1.21332549755719,-3.88094612753452,-7.32129876235842,7.47881074170123e-13,2.40310507890931e-12,18.045577855325,"NOT"
"ENSG00000136783.9",-0.414797122137828,4.41624579417117,-7.42339682572257,3.69338915901714e-13,1.20775822826129e-12,18.0328080326985,"NOT"
"ENSG00000279529.1",1.02288880633726,-0.124783250159829,7.33384671346415,6.86056345065505e-13,2.20860530340797e-12,18.0309636912701,"NOT"
"ENSG00000160323.18",-0.742575973624062,0.927896695756661,-7.36443792117315,5.55630039203358e-13,1.79830083495511e-12,18.0267072353215,"NOT"
